Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1983,1983,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1984,1984,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1985,1985,0.0009,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1986,1986,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1987,1987,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1988,1988,0.0026,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1989,1989,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1990,1990,0.0025,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1991,1991,0.0001,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1992,1992,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1993,1993,0.0002,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1994,1994,0.0001,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1995,1995,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1996,1996,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1997,1997,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1998,1998,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,1999,1999,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,2000,2000,0,,,,,,
,,Coast Range,,,Historical Rate: Fire,Historical Year: Fire,2001,2001,0.0001,,,,,,
