StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,23
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,12
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,10
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,7
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,4
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,12
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,7
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,3
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,4
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,224
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,195
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,138
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,141
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,256
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,309
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,148
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,182
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,188
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,267
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,181
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,74
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,132
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,83
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,88
Sierra Nevada,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,48
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,0
California Chaparral and Oak Woodlands,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,0
