Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2030,Cascades,,Fire,3.3606,Normal,Iteration and Timestep,11.86878623,0,15.22938623
2031,Cascades,,Fire,4.4442,Normal,Iteration and Timestep,16.2765295,0,20.7207295
2032,Cascades,,Fire,4.634,Normal,Iteration and Timestep,21.97780285,0,26.61180285
2033,Cascades,,Fire,6.0139,Normal,Iteration and Timestep,29.42996428,0,35.44386428
2034,Cascades,,Fire,15.959,Normal,Iteration and Timestep,45.65039548,0,61.60939548
2035,Cascades,,Fire,17.5206,Normal,Iteration and Timestep,55.74319261,0,73.26379261
2036,Cascades,,Fire,8.5902,Normal,Iteration and Timestep,43.25566592,0,51.84586592
2037,Cascades,,Fire,7.0088,Normal,Iteration and Timestep,21.10856666,0,28.11736666
2038,Cascades,,Fire,2.3853,Normal,Iteration and Timestep,10.75412934,0,13.13942934
2039,Cascades,,Fire,25.4621,Normal,Iteration and Timestep,53.55016242,0,79.01226242
2040,Cascades,,Fire,13.5088,Normal,Iteration and Timestep,72.60272688,0,86.11152688
2041,Cascades,,Fire,3.7055,Normal,Iteration and Timestep,23.03433714,0,26.73983714
2042,Cascades,,Fire,34.2004,Normal,Iteration and Timestep,126.4653358,0,160.6657358
2043,Cascades,,Fire,7.6258,Normal,Iteration and Timestep,31.49579639,0,39.12159639
2044,Cascades,,Fire,23.9578,Normal,Iteration and Timestep,117.0538243,0,141.0116243
2045,Cascades,,Fire,55.2633,Normal,Iteration and Timestep,136.6223225,0,191.8856225
2046,Cascades,,Fire,16.6827,Normal,Iteration and Timestep,46.29507278,0,62.97777278
2047,Cascades,,Fire,13.1378,Normal,Iteration and Timestep,64.86992415,0,78.00772415
2048,Cascades,,Fire,13.9494,Normal,Iteration and Timestep,85.03901309,0,98.98841309
2049,Cascades,,Fire,24.6601,Normal,Iteration and Timestep,99.80341808,0,124.4635181
2050,Cascades,,Fire,16.7986,Normal,Iteration and Timestep,65.5010529,0,82.2996529
2051,Cascades,,Fire,5.5365,Normal,Iteration and Timestep,14.01064584,0,19.54714584
2052,Cascades,,Fire,17.3971,Normal,Iteration and Timestep,55.14159169,0,72.53869169
2053,Cascades,,Fire,28.513,Normal,Iteration and Timestep,69.50241948,0,98.01541948
2054,Cascades,,Fire,2.4219,Normal,Iteration and Timestep,10.6730174,0,13.0949174
2055,Cascades,,Fire,23.0045,Normal,Iteration and Timestep,79.89890062,0,102.9034006
2056,Cascades,,Fire,10.0549,Normal,Iteration and Timestep,24.14747198,0,34.20237198
2057,Cascades,,Fire,19.5545,Normal,Iteration and Timestep,64.82867623,0,84.38317623
2058,Cascades,,Fire,122.1818,Normal,Iteration and Timestep,181.9218115,0,304.1036115
2059,Cascades,,Fire,16.1568,Normal,Iteration and Timestep,70.88115293,0,87.03795293
