Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2052,Central Basin and Range,,Fire,82.6027,Normal,Iteration and Timestep,178.6033051,0,261.2060051
2053,Central Basin and Range,,Fire,39.1394,Normal,Iteration and Timestep,71.98772528,0,111.1271253
2054,Central Basin and Range,,Fire,19.0681,Normal,Iteration and Timestep,32.51812115,0,51.58622115
2055,Central Basin and Range,,Fire,20.8511,Normal,Iteration and Timestep,58.81386741,0,79.66496741
2056,Central Basin and Range,,Fire,47.2417,Normal,Iteration and Timestep,105.1119226,0,152.3536226
2057,Central Basin and Range,,Fire,96.7108,Normal,Iteration and Timestep,191.3062629,0,288.0170629
2058,Central Basin and Range,,Fire,48.5181,Normal,Iteration and Timestep,142.5787772,0,191.0968772
2059,Central Basin and Range,,Fire,25.8634,Normal,Iteration and Timestep,46.63926473,0,72.50266473
2060,Central Basin and Range,,Fire,26.8149,Normal,Iteration and Timestep,49.52082887,0,76.33572887
2061,Central Basin and Range,,Fire,49.139,Normal,Iteration and Timestep,119.9372973,0,169.0762973
2062,Central Basin and Range,,Fire,69.2022,Normal,Iteration and Timestep,178.2900114,0,247.4922114
2063,Central Basin and Range,,Fire,39.9216,Normal,Iteration and Timestep,141.0037485,0,180.9253485
2064,Central Basin and Range,,Fire,29.1144,Normal,Iteration and Timestep,66.35562326,0,95.47002326
2065,Central Basin and Range,,Fire,135.9747,Normal,Iteration and Timestep,258.4641608,0,394.4388608
2066,Central Basin and Range,,Fire,43.5497,Normal,Iteration and Timestep,131.9787495,0,175.5284495
2067,Central Basin and Range,,Fire,65.4979,Normal,Iteration and Timestep,144.8481875,0,210.3460875
2068,Central Basin and Range,,Fire,76.7776,Normal,Iteration and Timestep,166.4892106,0,243.2668106
2069,Central Basin and Range,,Fire,60.2387,Normal,Iteration and Timestep,134.0822256,0,194.3209256
2070,Central Basin and Range,,Fire,16.8701,Normal,Iteration and Timestep,37.03240714,0,53.90250714
2071,Central Basin and Range,,Fire,39.9116,Normal,Iteration and Timestep,126.1232187,0,166.0348187
2072,Central Basin and Range,,Fire,26.481,Normal,Iteration and Timestep,51.10139073,0,77.58239073
2073,Central Basin and Range,,Fire,25.3192,Normal,Iteration and Timestep,60.91634649,0,86.23554649
2074,Central Basin and Range,,Fire,34.5416,Normal,Iteration and Timestep,61.88512205,0,96.42672205
2075,Central Basin and Range,,Fire,33.9487,Normal,Iteration and Timestep,86.50069015,0,120.4493902
2076,Central Basin and Range,,Fire,18.554,Normal,Iteration and Timestep,43.24225087,0,61.79625087
2077,Central Basin and Range,,Fire,31.0524,Normal,Iteration and Timestep,77.03518696,0,108.087587
2078,Central Basin and Range,,Fire,36.9748,Normal,Iteration and Timestep,88.98674277,0,125.9615428
2079,Central Basin and Range,,Fire,31.8763,Normal,Iteration and Timestep,113.9290159,0,145.8053159
2080,Central Basin and Range,,Fire,67.3005,Normal,Iteration and Timestep,179.3766637,0,246.6771637
2081,Central Basin and Range,,Fire,24.8036,Normal,Iteration and Timestep,57.20636681,0,82.00996681
2082,Central Basin and Range,,Fire,24.4815,Normal,Iteration and Timestep,48.4960406,0,72.9775406
2083,Central Basin and Range,,Fire,63.053,Normal,Iteration and Timestep,142.7249275,0,205.7779275
2084,Central Basin and Range,,Fire,39.6324,Normal,Iteration and Timestep,105.040873,0,144.673273
2085,Central Basin and Range,,Fire,33.6087,Normal,Iteration and Timestep,72.97959377,0,106.5882938
2086,Central Basin and Range,,Fire,53.1043,Normal,Iteration and Timestep,132.8624917,0,185.9667917
2087,Central Basin and Range,,Fire,47.2361,Normal,Iteration and Timestep,113.5759802,0,160.8120802
2088,Central Basin and Range,,Fire,23.4188,Normal,Iteration and Timestep,45.08180993,0,68.50060993
2089,Central Basin and Range,,Fire,97.0798,Normal,Iteration and Timestep,190.8600688,0,287.9398688
2090,Central Basin and Range,,Fire,37.1383,Normal,Iteration and Timestep,137.1147784,0,174.2530784
2091,Central Basin and Range,,Fire,46.4967,Normal,Iteration and Timestep,83.32521144,0,129.8219114
2092,Central Basin and Range,,Fire,63.4732,Normal,Iteration and Timestep,160.1781536,0,223.6513536
2093,Central Basin and Range,,Fire,88.2178,Normal,Iteration and Timestep,214.4892442,0,302.7070442
2094,Central Basin and Range,,Fire,94.7283,Normal,Iteration and Timestep,170.4469316,0,265.1752316
2095,Central Basin and Range,,Fire,28.8906,Normal,Iteration and Timestep,98.878593,0,127.769193
2096,Central Basin and Range,,Fire,45.1834,Normal,Iteration and Timestep,96.75963987,0,141.9430399
2097,Central Basin and Range,,Fire,18.3627,Normal,Iteration and Timestep,33.03492574,0,51.39762574
2098,Central Basin and Range,,Fire,38.3277,Normal,Iteration and Timestep,77.42936661,0,115.7570666
2099,Central Basin and Range,,Fire,15.1389,Normal,Iteration and Timestep,21.73438164,0,36.87328164
2017,Central California Valley,,Fire,76.738,Normal,Iteration and Timestep,67.60293878,9.13506122,144.3409388
2018,Central California Valley,,Fire,98.8032,Normal,Iteration and Timestep,69.60347641,29.19972359,168.4066764
2019,Central California Valley,,Fire,78.895,Normal,Iteration and Timestep,63.95657735,14.93842265,142.8515774
2020,Central California Valley,,Fire,49.9687,Normal,Iteration and Timestep,52.82923214,0,102.7979321
2021,Central California Valley,,Fire,61.0855,Normal,Iteration and Timestep,48.57020096,12.51529904,109.655701
2022,Central California Valley,,Fire,53.2729,Normal,Iteration and Timestep,41.59653978,11.67636022,94.86943978
2023,Central California Valley,,Fire,48.3169,Normal,Iteration and Timestep,49.67265153,0,97.98955153
2024,Central California Valley,,Fire,55.0194,Normal,Iteration and Timestep,42.63238897,12.38701103,97.65178897
2025,Central California Valley,,Fire,69.5316,Normal,Iteration and Timestep,59.04229627,10.48930373,128.5738963
2026,Central California Valley,,Fire,63.4899,Normal,Iteration and Timestep,66.71087373,0,130.2007737
2027,Central California Valley,,Fire,71.1906,Normal,Iteration and Timestep,48.34621322,22.84438678,119.5368132
2028,Central California Valley,,Fire,61.4778,Normal,Iteration and Timestep,46.88000346,14.59779654,108.3578035
2029,Central California Valley,,Fire,47.8586,Normal,Iteration and Timestep,56.91257453,0,104.7711745
2030,Central California Valley,,Fire,44.0819,Normal,Iteration and Timestep,39.59896021,4.48293979,83.68086021
