Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2065,Cascades,,Fire,3.723,Normal,Iteration and Timestep,10.48101877,0,14.20401877
2066,Cascades,,Fire,15.34,Normal,Iteration and Timestep,49.50724114,0,64.84724114
2067,Cascades,,Fire,39.2934,Normal,Iteration and Timestep,98.42101319,0,137.7144132
2068,Cascades,,Fire,13.0447,Normal,Iteration and Timestep,46.48519848,0,59.52989848
2069,Cascades,,Fire,60.4744,Normal,Iteration and Timestep,152.5467288,0,213.0211288
2070,Cascades,,Fire,4.885,Normal,Iteration and Timestep,22.81693282,0,27.70193282
2071,Cascades,,Fire,56.3275,Normal,Iteration and Timestep,125.0092698,0,181.3367698
2072,Cascades,,Fire,22.1197,Normal,Iteration and Timestep,51.29489813,0,73.41459813
2073,Cascades,,Fire,9.6158,Normal,Iteration and Timestep,80.18472203,0,89.80052203
2074,Cascades,,Fire,32.9671,Normal,Iteration and Timestep,88.91126599,0,121.878366
2075,Cascades,,Fire,15.8399,Normal,Iteration and Timestep,74.31309527,0,90.15299527
2076,Cascades,,Fire,26.5004,Normal,Iteration and Timestep,64.06438568,0,90.56478568
2077,Cascades,,Fire,13.8058,Normal,Iteration and Timestep,60.71407091,0,74.51987091
2078,Cascades,,Fire,18.1143,Normal,Iteration and Timestep,69.67646533,0,87.79076533
2079,Cascades,,Fire,7.5901,Normal,Iteration and Timestep,23.93414582,0,31.52424582
2080,Cascades,,Fire,9.6405,Normal,Iteration and Timestep,28.86527589,0,38.50577589
2081,Cascades,,Fire,101.9151,Normal,Iteration and Timestep,176.4259423,0,278.3410423
2082,Cascades,,Fire,18.9352,Normal,Iteration and Timestep,48.92854376,0,67.86374376
2083,Cascades,,Fire,58.9479,Normal,Iteration and Timestep,90.73970829,0,149.6876083
2084,Cascades,,Fire,12.6506,Normal,Iteration and Timestep,66.42637878,0,79.07697878
2085,Cascades,,Fire,19.9607,Normal,Iteration and Timestep,57.36307212,0,77.32377212
2086,Cascades,,Fire,72.5383,Normal,Iteration and Timestep,110.8223993,0,183.3606993
2087,Cascades,,Fire,15.8287,Normal,Iteration and Timestep,51.48352269,0,67.31222269
2088,Cascades,,Fire,16.9934,Normal,Iteration and Timestep,84.89022417,0,101.8836242
2089,Cascades,,Fire,6.7847,Normal,Iteration and Timestep,27.39642325,0,34.18112325
2090,Cascades,,Fire,82.3289,Normal,Iteration and Timestep,175.8092355,0,258.1381355
2091,Cascades,,Fire,7.935,Normal,Iteration and Timestep,20.21787296,0,28.15287296
2092,Cascades,,Fire,12.771,Normal,Iteration and Timestep,45.3221224,0,58.0931224
2093,Cascades,,Fire,6.03,Normal,Iteration and Timestep,20.88607767,0,26.91607767
2094,Cascades,,Fire,36.7087,Normal,Iteration and Timestep,125.2808614,0,161.9895614
2095,Cascades,,Fire,12.4462,Normal,Iteration and Timestep,38.15552686,0,50.60172686
