Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2090,Central Basin and Range,,Fire,7.8903,Normal,Iteration and Timestep,15.14835961,0,23.03865961
2091,Central Basin and Range,,Fire,22.2895,Normal,Iteration and Timestep,68.61124002,0,90.90074002
2092,Central Basin and Range,,Fire,12.1075,Normal,Iteration and Timestep,28.57495988,0,40.68245988
2093,Central Basin and Range,,Fire,13.6575,Normal,Iteration and Timestep,28.10086391,0,41.75836391
2094,Central Basin and Range,,Fire,9.9394,Normal,Iteration and Timestep,15.44142414,0,25.38082414
2095,Central Basin and Range,,Fire,11.8509,Normal,Iteration and Timestep,25.95294044,0,37.80384044
2096,Central Basin and Range,,Fire,18.827,Normal,Iteration and Timestep,37.03371801,0,55.86071801
2097,Central Basin and Range,,Fire,26.9416,Normal,Iteration and Timestep,60.21211053,0,87.15371053
2098,Central Basin and Range,,Fire,14.6701,Normal,Iteration and Timestep,45.48533287,0,60.15543287
2099,Central Basin and Range,,Fire,5.4788,Normal,Iteration and Timestep,17.50663426,0,22.98543426
2017,Central California Valley,,Fire,78.9896,Normal,Iteration and Timestep,112.7196468,0,191.7092468
2018,Central California Valley,,Fire,93.5359,Normal,Iteration and Timestep,95.53032893,0,189.0662289
2019,Central California Valley,,Fire,54.8556,Normal,Iteration and Timestep,82.78327979,0,137.6388798
2020,Central California Valley,,Fire,88.6869,Normal,Iteration and Timestep,87.51669013,1.17020987,176.2035901
2021,Central California Valley,,Fire,60.1638,Normal,Iteration and Timestep,68.52222049,0,128.6860205
2022,Central California Valley,,Fire,63.1823,Normal,Iteration and Timestep,63.78511438,0,126.9674144
2023,Central California Valley,,Fire,90.83,Normal,Iteration and Timestep,102.8061371,0,193.6361371
2024,Central California Valley,,Fire,111.1723,Normal,Iteration and Timestep,92.99437189,18.17792811,204.1666719
2025,Central California Valley,,Fire,94.9656,Normal,Iteration and Timestep,116.2253114,0,211.1909114
2026,Central California Valley,,Fire,103.5228,Normal,Iteration and Timestep,102.6387652,0.8840348,206.1615652
2027,Central California Valley,,Fire,96.2267,Normal,Iteration and Timestep,113.8962084,0,210.1229084
2028,Central California Valley,,Fire,76.5932,Normal,Iteration and Timestep,69.21704363,7.37615637,145.8102436
2029,Central California Valley,,Fire,120.274,Normal,Iteration and Timestep,122.5564782,0,242.8304782
2030,Central California Valley,,Fire,132.8971,Normal,Iteration and Timestep,135.3736211,0,268.2707211
