"TransitionGroupID","Timestep","Amount","StratumID"
"Fire: High Severity [Type]","2035",1.067032,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2035",0.996389850622407,"Northern Basin and Range"
"Fire: Low Severity [Type]","2035",0.996389850622407,"Northern Basin and Range"
"Fire: High Severity [Type]","2036",1.07056,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2036",0.996254439834025,"Northern Basin and Range"
"Fire: Low Severity [Type]","2036",0.996254439834025,"Northern Basin and Range"
"Fire: High Severity [Type]","2037",1.074088,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2037",0.996119029045643,"Northern Basin and Range"
"Fire: Low Severity [Type]","2037",0.996119029045643,"Northern Basin and Range"
"Fire: High Severity [Type]","2038",1.077616,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2038",0.995983618257261,"Northern Basin and Range"
"Fire: Low Severity [Type]","2038",0.995983618257261,"Northern Basin and Range"
"Fire: High Severity [Type]","2039",1.081144,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2039",0.99584820746888,"Northern Basin and Range"
"Fire: Low Severity [Type]","2039",0.99584820746888,"Northern Basin and Range"
"Fire: High Severity [Type]","2040",1.084672,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2040",0.995712796680498,"Northern Basin and Range"
"Fire: Low Severity [Type]","2040",0.995712796680498,"Northern Basin and Range"
"Fire: High Severity [Type]","2041",1.0882,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2041",0.995577385892116,"Northern Basin and Range"
"Fire: Low Severity [Type]","2041",0.995577385892116,"Northern Basin and Range"
"Fire: High Severity [Type]","2042",1.091728,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2042",0.995441975103735,"Northern Basin and Range"
"Fire: Low Severity [Type]","2042",0.995441975103735,"Northern Basin and Range"
"Fire: High Severity [Type]","2043",1.095256,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2043",0.995306564315353,"Northern Basin and Range"
"Fire: Low Severity [Type]","2043",0.995306564315353,"Northern Basin and Range"
"Fire: High Severity [Type]","2044",1.098784,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2044",0.995171153526971,"Northern Basin and Range"
"Fire: Low Severity [Type]","2044",0.995171153526971,"Northern Basin and Range"
"Fire: High Severity [Type]","2045",1.102312,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2045",0.995035742738589,"Northern Basin and Range"
"Fire: Low Severity [Type]","2045",0.995035742738589,"Northern Basin and Range"
"Fire: High Severity [Type]","2046",1.10584,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2046",0.994900331950207,"Northern Basin and Range"
"Fire: Low Severity [Type]","2046",0.994900331950207,"Northern Basin and Range"
"Fire: High Severity [Type]","2047",1.109368,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2047",0.994764921161826,"Northern Basin and Range"
"Fire: Low Severity [Type]","2047",0.994764921161826,"Northern Basin and Range"
"Fire: High Severity [Type]","2048",1.112896,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2048",0.994629510373444,"Northern Basin and Range"
"Fire: Low Severity [Type]","2048",0.994629510373444,"Northern Basin and Range"
"Fire: High Severity [Type]","2049",1.116424,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2049",0.994494099585062,"Northern Basin and Range"
"Fire: Low Severity [Type]","2049",0.994494099585062,"Northern Basin and Range"
"Fire: High Severity [Type]","2050",1.119952,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2050",0.994358688796681,"Northern Basin and Range"
"Fire: Low Severity [Type]","2050",0.994358688796681,"Northern Basin and Range"
"Fire: High Severity [Type]","2051",1.12348,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2051",0.994223278008299,"Northern Basin and Range"
"Fire: Low Severity [Type]","2051",0.994223278008299,"Northern Basin and Range"
"Fire: High Severity [Type]","2052",1.127008,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2052",0.994087867219917,"Northern Basin and Range"
"Fire: Low Severity [Type]","2052",0.994087867219917,"Northern Basin and Range"
"Fire: High Severity [Type]","2053",1.130536,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2053",0.993952456431535,"Northern Basin and Range"
