Timestep,StratumID,TransitionGroupID,Amount
2024,Coast Range,Fire: Medium Severity [Type],0.30405152676056335
2024,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3557736181818182
2024,Klamath Mountains,Fire: Medium Severity [Type],0.3847676
2024,Mojave Basin and Range,Fire: Medium Severity [Type],0.2921457875527426
2024,Northern Basin and Range,Fire: Medium Severity [Type],0.31178871597510377
2024,Sierra Nevada,Fire: Medium Severity [Type],0.4052170807643312
2024,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28150019099678447
2024,Southern California Mountains,Fire: Medium Severity [Type],0.4235501549071618
2024,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3911725291139241
2024,Cascades,Fire: Low Severity [Type],0.684
2024,Central Basin and Range,Fire: Low Severity [Type],0.47183264587155965
2024,Central California Valley,Fire: Low Severity [Type],0.7355188382978723
2024,Coast Range,Fire: Low Severity [Type],0.5370260732394366
2024,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.46812318181818185
2024,Klamath Mountains,Fire: Low Severity [Type],0.4004723999999999
2024,Mojave Basin and Range,Fire: Low Severity [Type],0.6530904124472574
2024,Northern Basin and Range,Fire: Low Severity [Type],0.6484806840248963
2024,Sierra Nevada,Fire: Low Severity [Type],0.3649897192356688
2024,Sonoran Basin and Range,Fire: Low Severity [Type],0.6465552090032154
2024,Southern California Mountains,Fire: Low Severity [Type],0.3122950450928382
2025,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.22722
2025,Cascades,Fire: High Severity [Type],0
2025,Central Basin and Range,Fire: High Severity [Type],0.138496
2025,Central California Valley,Fire: High Severity [Type],0.06492
2025,Coast Range,Fire: High Severity [Type],0.160136
2025,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.17744800000000002
2025,Klamath Mountains,Fire: High Severity [Type],0.21640000000000004
2025,Mojave Basin and Range,Fire: High Severity [Type],0.055182
2025,Northern Basin and Range,Fire: High Severity [Type],0.040034
2025,Sierra Nevada,Fire: High Severity [Type],0.231548
2025,Sonoran Basin and Range,Fire: High Severity [Type],0.072494
2025,Southern California Mountains,Fire: High Severity [Type],0.266172
2025,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3824771898734177
2025,Cascades,Fire: Medium Severity [Type],0.316
2025,Central Basin and Range,Fire: Medium Severity [Type],0.390245504587156
2025,Central California Valley,Fire: Medium Severity [Type],0.19994795744680854
2025,Coast Range,Fire: Medium Severity [Type],0.303612807511737
2025,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.35519290909090906
2025,Klamath Mountains,Fire: Medium Severity [Type],0.38396399999999997
2025,Mojave Basin and Range,Fire: Medium Severity [Type],0.29201653375527425
2025,Northern Basin and Range,Fire: Medium Severity [Type],0.3116902053941909
2025,Sierra Nevada,Fire: Medium Severity [Type],0.4042938547770701
2025,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28133354555198276
2025,Southern California Mountains,Fire: Medium Severity [Type],0.4223890610079575
2025,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3903028101265823
2025,Cascades,Fire: Low Severity [Type],0.684
2025,Central Basin and Range,Fire: Low Severity [Type],0.4712584954128441
2025,Central California Valley,Fire: Low Severity [Type],0.7351320425531915
2025,Coast Range,Fire: Low Severity [Type],0.5362511924882629
2025,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.46735909090909095
2025,Klamath Mountains,Fire: Low Severity [Type],0.3996359999999999
2025,Mojave Basin and Range,Fire: Low Severity [Type],0.6528014662447258
2025,Northern Basin and Range,Fire: Low Severity [Type],0.6482757946058092
2025,Sierra Nevada,Fire: Low Severity [Type],0.36415814522293
2025,Sonoran Basin and Range,Fire: Low Severity [Type],0.6461724544480171
2025,Southern California Mountains,Fire: Low Severity [Type],0.31143893899204245
2026,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.228942
2026,Cascades,Fire: High Severity [Type],0
2026,Central Basin and Range,Fire: High Severity [Type],0.13954560000000002
2026,Central California Valley,Fire: High Severity [Type],0.065412
2026,Coast Range,Fire: High Severity [Type],0.1613496
2026,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.17879280000000003
2026,Klamath Mountains,Fire: High Severity [Type],0.21804
2026,Mojave Basin and Range,Fire: High Severity [Type],0.0556002
2026,Northern Basin and Range,Fire: High Severity [Type],0.0403374
2026,Sierra Nevada,Fire: High Severity [Type],0.2333028
2026,Sonoran Basin and Range,Fire: High Severity [Type],0.07304340000000001
2026,Southern California Mountains,Fire: High Severity [Type],0.2681892
2026,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3816249088607595
2026,Cascades,Fire: Medium Severity [Type],0.316
2026,Central Basin and Range,Fire: Medium Severity [Type],0.3897700550458716
2026,Central California Valley,Fire: Medium Severity [Type],0.1998427531914894
2026,Coast Range,Fire: Medium Severity [Type],0.30317408826291076
2026,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3546122
2026,Klamath Mountains,Fire: Medium Severity [Type],0.3831604
